Date,Open,High,Low,Close,Adj Close,Volume
2019-11-06,374.489990,379.929993,374.029999,379.790009,365.226318,1505800
2019-11-07,380.339996,382.739990,377.910004,378.750000,364.226196,1157200
2019-11-08,377.600006,382.880005,377.600006,381.859985,367.216949,783500
2019-11-11,379.510010,383.410004,379.309998,381.380005,366.755371,580500
2019-11-12,381.559998,387.500000,381.559998,386.299988,371.486694,910700
2019-11-13,385.940002,390.519989,385.089996,387.690002,372.823395,956100
2019-11-14,387.279999,392.299988,387.279999,390.160004,375.198669,915600
2019-11-15,392.269989,394.489990,390.279999,393.549988,378.458679,1533600
2019-11-18,393.000000,395.679993,391.950012,392.760010,377.698975,827700
2019-11-19,394.000000,395.820007,390.529999,390.809998,375.823792,800300
2019-11-20,391.059998,393.540009,390.250000,392.700012,377.641296,907700
2019-11-21,390.859985,392.250000,389.320007,390.260010,375.294861,1416900
2019-11-22,390.190002,391.390015,387.820007,390.739990,375.756439,758600
2019-11-25,391.600006,393.100006,387.489990,389.980011,375.025604,801400
2019-11-26,390.600006,395.950012,389.980011,392.500000,377.448914,1206600
2019-11-27,393.630005,394.480011,391.619995,394.239990,379.122223,770300
2019-11-29,392.000000,392.200012,390.040009,391.029999,378.338531,401500
2019-12-02,390.709991,391.529999,383.440002,383.619995,371.169037,1283400
2019-12-03,381.429993,384.640015,380.140015,381.619995,369.233948,1384300
2019-12-04,383.529999,387.950012,382.279999,384.579987,372.097839,1081100
2019-12-05,386.059998,386.500000,383.010010,385.940002,373.413696,1203700
2019-12-06,387.170013,388.899994,385.100006,386.859985,374.303864,709600
2019-12-09,386.220001,387.420013,383.230011,383.339996,370.898102,821600
2019-12-10,383.500000,386.769989,383.250000,384.440002,371.962402,862100
2019-12-11,385.510010,386.609985,384.029999,386.239990,373.703979,578900
2019-12-12,386.000000,387.790009,383.450012,384.049988,371.585022,736100
2019-12-13,384.000000,387.779999,384.000000,386.470001,373.926483,658000
2019-12-16,387.899994,388.350006,384.049988,385.950012,373.423401,847500
2019-12-17,385.000000,388.000000,385.000000,386.890015,374.332916,730000
2019-12-18,387.399994,387.640015,379.660004,380.570007,368.218018,1526000
2019-12-19,380.989990,384.679993,380.230011,383.149994,370.714264,766300
2019-12-20,385.029999,386.640015,383.000000,386.470001,373.926483,1599600
2019-12-23,387.660004,394.690002,387.589996,391.899994,379.180267,1050400
2019-12-24,392.350006,392.350006,389.529999,390.170013,377.506409,516300
2019-12-26,390.899994,392.450012,390.480011,392.299988,379.567291,711600
2019-12-27,393.989990,394.500000,391.940002,393.600006,380.825073,728800
2019-12-30,393.649994,393.760010,390.869995,391.899994,379.180267,776900
2019-12-31,391.750000,391.980011,387.070007,389.380005,376.742065,775400
2020-01-02,392.859985,399.369995,390.950012,399.369995,386.407837,1258400
2020-01-03,404.019989,417.170013,403.000000,413.739990,400.311401,2990100
2020-01-06,417.989990,417.989990,407.690002,413.109985,399.701904,2477800
2020-01-07,411.250000,416.119995,408.290009,414.500000,401.046753,1059900
2020-01-08,417.059998,418.179993,409.720001,411.029999,397.689362,1708100
2020-01-09,410.489990,416.000000,410.000000,414.929993,401.462769,1064300
2020-01-10,415.000000,415.600006,412.480011,413.829987,400.398468,987800
2020-01-13,414.940002,420.959991,414.660004,419.019989,405.420044,986800
2020-01-14,417.589996,418.269989,415.070007,416.140015,402.633514,967200
2020-01-15,416.420013,421.480011,416.140015,420.950012,407.287415,833000
2020-01-16,423.130005,425.739990,420.670013,425.700012,411.883270,1085200
2020-01-17,426.609985,427.540009,424.500000,425.660004,411.844574,1195600
2020-01-21,424.420013,427.779999,423.010010,426.149994,412.318634,1071400
2020-01-22,427.500000,428.500000,424.359985,424.420013,410.644806,918700
2020-01-23,424.059998,429.559998,424.000000,428.779999,414.863281,978400
2020-01-24,429.899994,433.519989,429.690002,432.500000,418.462494,1086700
2020-01-27,425.859985,434.450012,425.859985,432.380005,418.346466,1737900
2020-01-28,434.769989,438.989990,426.269989,437.170013,422.981018,2063200
2020-01-29,437.720001,437.989990,431.019989,433.839996,419.759033,1268500
2020-01-30,430.339996,437.000000,430.339996,435.899994,421.752167,1210200
2020-01-31,434.929993,435.570007,426.100006,428.119995,414.224670,1650100
2020-02-03,429.519989,430.000000,422.040009,423.859985,410.102936,1795800
2020-02-04,425.459991,431.989990,425.459991,430.779999,416.798401,1216300
2020-02-05,433.320007,435.920013,429.019989,435.190002,421.065247,1251800
2020-02-06,435.559998,439.859985,434.910004,438.970001,424.722534,833500
2020-02-07,438.140015,441.209991,437.290009,439.170013,424.916077,883800
2020-02-10,439.000000,441.519989,437.820007,439.760010,425.486908,870400
2020-02-11,441.359985,442.529999,437.470001,439.850006,425.574005,744600
2020-02-12,439.010010,439.690002,434.600006,436.600006,422.429443,1419200
2020-02-13,435.799988,439.290009,434.299988,434.700012,420.591125,800200
2020-02-14,434.980011,438.470001,434.309998,437.850006,423.638885,948600
2020-02-18,437.000000,438.950012,434.010010,435.549988,421.413513,776100
2020-02-19,437.000000,438.269989,434.399994,434.480011,420.378296,787200
2020-02-20,433.630005,434.989990,424.160004,425.970001,412.144470,1190600
2020-02-21,425.119995,428.720001,422.660004,427.799988,413.915070,1055500
2020-02-24,419.649994,424.200012,418.100006,419.350006,405.739319,1117800
2020-02-25,420.100006,421.730011,397.529999,400.359985,387.365692,1600100
2020-02-26,400.309998,410.519989,399.339996,400.899994,387.888153,1678000
2020-02-27,393.519989,399.010010,384.329987,384.600006,372.117188,1894100
2020-02-28,369.859985,373.820007,360.339996,369.869995,360.112488,3363800
2020-03-02,371.350006,383.100006,360.570007,381.350006,371.289642,2859900
2020-03-03,384.839996,396.899994,376.589996,377.399994,367.443817,2531400
2020-03-04,385.420013,402.959991,383.190002,402.029999,391.424072,2025800
2020-03-05,393.920013,397.850006,382.220001,384.700012,374.551270,1967200
2020-03-06,372.089996,384.950012,368.459991,382.470001,372.380066,2161000
2020-03-09,359.980011,369.470001,351.269989,352.029999,342.743103,3086700
2020-03-10,363.010010,367.670013,350.600006,367.170013,357.483734,2505600
2020-03-11,356.570007,365.890015,349.790009,356.929993,347.513855,1950800
2020-03-12,322.000000,339.420013,310.079987,311.380005,303.165497,3892600
2020-03-13,327.329987,329.160004,303.100006,328.589996,319.921478,3877800
2020-03-16,295.010010,311.559998,285.000000,287.940002,280.343872,2351500
2020-03-17,293.000000,319.470001,287.149994,318.829987,310.418945,2626200
2020-03-18,296.920013,339.230011,296.040009,333.410004,324.614349,3589400
2020-03-19,333.410004,334.100006,311.209991,314.200012,305.911102,2836700
2020-03-20,314.200012,315.839996,288.209991,291.220001,283.537354,3040100
2020-03-23,285.000000,287.059998,266.109985,276.799988,269.497742,3172100
2020-03-24,287.970001,294.989990,280.239990,288.910004,281.288300,3088400
2020-03-25,300.619995,329.820007,293.609985,319.670013,311.236816,2950100
2020-03-26,326.000000,352.100006,324.010010,350.329987,341.087952,2680900
2020-03-27,339.989990,365.089996,335.010010,348.380005,339.189423,3562800
2020-03-30,351.489990,356.480011,342.279999,348.850006,339.647034,1756300
2020-03-31,344.809998,346.920013,336.239990,338.950012,330.008179,2169300
2020-04-01,324.829987,340.989990,322.010010,338.519989,329.589539,2082300
2020-04-02,335.250000,354.000000,334.549988,353.959991,344.622192,1896200
2020-04-03,352.000000,355.839996,349.609985,350.500000,341.253479,2113200
2020-04-06,361.910004,369.950012,361.910004,367.950012,358.243164,2525400
2020-04-07,380.500000,381.899994,354.049988,355.279999,345.907379,2101500
2020-04-08,361.369995,372.649994,358.589996,361.410004,351.875702,1447700
2020-04-09,369.739990,376.329987,363.519989,371.000000,361.212677,1629400
2020-04-13,370.950012,373.989990,365.709991,369.940002,360.180634,1237200
2020-04-14,378.290009,386.579987,374.549988,380.029999,370.004456,1653400
2020-04-15,376.750000,376.750000,367.359985,374.380005,364.503510,1251500
2020-04-16,373.609985,381.299988,372.500000,377.880005,367.911194,1568400
2020-04-17,387.420013,402.450012,384.829987,401.510010,390.917786,1768400
2020-04-20,394.079987,399.970001,383.209991,383.209991,373.100555,1487200
2020-04-21,383.010010,392.540009,371.010010,373.440002,363.588318,2042000
2020-04-22,383.489990,383.940002,375.329987,380.399994,370.364716,1188400
2020-04-23,382.750000,384.869995,376.190002,376.730011,366.791534,1164400
2020-04-24,378.720001,384.059998,372.980011,381.769989,371.698547,1029200
2020-04-27,383.910004,384.040009,378.000000,378.570007,368.583008,1457400
2020-04-28,381.859985,387.829987,380.420013,384.730011,374.580475,1313900
2020-04-29,388.160004,393.510010,379.500000,387.910004,377.676605,1500400
2020-04-30,383.100006,391.440002,380.440002,389.059998,378.796234,1343300
2020-05-01,385.640015,387.410004,381.089996,383.470001,373.353699,911600
2020-05-04,382.019989,382.970001,374.130005,380.160004,370.131042,1077900
2020-05-05,382.410004,392.779999,381.589996,390.299988,380.003510,1270900
2020-05-06,390.890015,390.890015,378.410004,378.579987,368.592682,1089800
2020-05-07,383.010010,384.130005,376.000000,376.540009,366.606537,1462000
2020-05-08,378.029999,381.130005,376.250000,378.399994,368.417450,1130400
2020-05-11,375.000000,379.500000,374.140015,376.559998,366.626007,1287800
2020-05-12,378.000000,382.440002,371.029999,371.109985,361.319733,1447700
2020-05-13,371.279999,372.459991,362.010010,364.179993,354.572571,1287400
2020-05-14,360.989990,361.540009,352.260010,356.279999,346.881042,1776400
2020-05-15,352.529999,361.510010,352.320007,360.399994,350.892303,1854500
2020-05-18,371.209991,380.489990,366.019989,377.540009,367.580170,1879700
2020-05-19,378.070007,382.459991,371.239990,371.480011,361.679993,1087100
2020-05-20,372.440002,374.000000,362.109985,362.510010,352.946686,1880500
2020-05-21,362.690002,370.029999,362.600006,368.820007,359.090179,1179100
2020-05-22,369.859985,370.160004,365.619995,369.000000,359.265442,752600
2020-05-26,376.950012,376.950012,370.570007,372.200012,362.381042,1596100
2020-05-27,376.779999,397.119995,376.579987,397.119995,386.643616,1986900
2020-05-28,401.459991,404.260010,398.160004,398.440002,387.928802,1487900
2020-05-29,396.040009,396.239990,384.769989,388.440002,380.484436,1733800
2020-06-01,388.940002,394.000000,387.309998,388.959991,380.993774,1090300
2020-06-02,388.640015,393.230011,386.989990,389.769989,381.787170,1404700
2020-06-03,393.649994,403.600006,392.589996,402.630005,394.383820,1382200
2020-06-04,401.779999,404.869995,399.000000,403.670013,395.402496,1261700
